3576022	Saint John’s	AG	17.11717	-61.84573	America/Antigua
3667849	Soledad	CO	10.91843	-74.76459	America/Bogota
3667873	Sogamoso	CO	5.71434	-72.93391	America/Bogota
3667887	Socorro	CO	6.46838	-73.26022	America/Bogota
3667905	Soacha	CO	4.57937	-74.21682	America/Bogota
3667983	Sincelejo	CO	9.30472	-75.39778	America/Bogota
3667991	Sincé	CO	9.24391	-75.14675	America/Bogota
3668087	Sibaté	CO	4.48425	-74.24499	America/Bogota
3668132	Sevilla	CO	4.26425	-75.93085	America/Bogota
3668175	Segovia	CO	7.07993	-74.6989	America/Bogota
3668323	Santuario	CO	6.13833	-75.26417	America/Bogota
3668332	Santo Tomás	CO	10.75773	-74.75451	America/Bogota
3668454	Santa Rosa de Cabal	CO	4.86806	-75.62139	America/Bogota
3668572	Santander de Quilichao	CO	3.00945	-76.48494	America/Bogota
3668605	Santa Marta	CO	11.24079	-74.19904	America/Bogota
3668655	Santa Lucía	CO	10.3242	-74.96017	America/Bogota
3669218	San Onofre	CO	9.73586	-75.52626	America/Bogota
3669332	San Martín	CO	3.69637	-73.69957	America/Bogota
3669346	San Marcos	CO	8.65972	-75.12809	America/Bogota
3669454	San Juan Nepomuceno	CO	9.95157	-75.08198	America/Bogota
3669469	San Juan del Cesar	CO	10.77107	-73.00314	America/Bogota
3669736	San Jacinto	CO	9.82767	-75.1217	America/Bogota
3669808	San Gil	CO	6.55952	-73.13637	America/Bogota
3669997	San Carlos	CO	8.79577	-75.69947	America/Bogota
3669998	San Carlos	CO	7.79177	-74.77316	America/Bogota
3670038	San Benito Abad	CO	8.92901	-75.02709	America/Bogota
3670218	San Andrés	CO	12.58472	-81.70056	America/Bogota
3670280	Sampués	CO	9.18361	-75.38167	America/Bogota
3670370	Salamina	CO	5.40733	-75.48749	America/Bogota
3670419	Sahagún	CO	8.94617	-75.44275	America/Bogota
3670475	Sabaneta	CO	6.15153	-75.61657	America/Bogota
3670502	Sabanalarga	CO	10.62962	-74.92063	America/Bogota
3670513	Sabanagrande	CO	10.79115	-74.76059	America/Bogota
3670644	Roldanillo	CO	4.41256	-76.15457	America/Bogota
3670719	Riosucio	CO	5.42164	-75.70318	America/Bogota
3670730	Rionegro	CO	6.15515	-75.37371	America/Bogota
3670745	Ríohacha	CO	11.54444	-72.90722	America/Bogota
3670874	Repelón	CO	10.49194	-75.12917	America/Bogota
3671098	Quimbaya	CO	4.62306	-75.76278	America/Bogota
3671116	Quibdó	CO	5.69472	-76.66111	America/Bogota
3671315	Puerto Tejada	CO	3.23114	-76.41668	America/Bogota
3671325	Puerto Santander	CO	8.36361	-72.4063	America/Bogota
3671418	Puerto López	CO	4.09912	-72.95647	America/Bogota
3671497	Puerto Colombia	CO	10.98778	-74.95472	America/Bogota
3671531	Puerto Boyacá	CO	5.97584	-74.58845	America/Bogota
3671540	Puerto Berrío	CO	6.49156	-74.40326	America/Bogota
3671549	Puerto Asís	CO	0.51328	-76.50075	America/Bogota
3671772	Pradera	CO	3.42111	-76.24472	America/Bogota
3671916	Popayán	CO	2.43823	-76.61316	America/Bogota
3672068	Planeta Rica	CO	8.4115	-75.58508	America/Bogota
3672093	Pivijay	CO	10.46167	-74.61621	America/Bogota
3672110	Pitalito	CO	1.84966	-76.04785	America/Bogota
3672328	Piedecuesta	CO	6.98789	-73.04953	America/Bogota
3672486	Pereira	CO	4.81333	-75.69611	America/Bogota
3672761	Patía	CO	2.06895	-77.05273	America/Bogota
3672778	Pasto	CO	1.21361	-77.28111	America/Bogota
3673045	Pamplona	CO	7.37565	-72.64795	America/Bogota
3673164	Palmira	CO	3.53944	-76.30361	America/Bogota
3673220	Palmar de Varela	CO	10.74055	-74.75443	America/Bogota
3673398	Belalcazar	CO	2.65472	-75.99278	America/Bogota
3673424	Pacho	CO	5.13278	-74.15977	America/Bogota
3673662	Ocaña	CO	8.23773	-73.35604	America/Bogota
3673899	Neiva	CO	2.9273	-75.28189	America/Bogota
3674292	Mosquera	CO	4.70592	-74.23021	America/Bogota
3674412	Morales	CO	8.2752	-73.86884	America/Bogota
3674453	Montería	CO	8.74798	-75.88143	America/Bogota
3674463	Montenegro	CO	4.56639	-75.75111	America/Bogota
3674470	Montelíbano	CO	7.97917	-75.4202	America/Bogota
3674597	Mompós	CO	9.24194	-74.42667	America/Bogota
3674654	Mocoa	CO	1.14933	-76.64661	America/Bogota
3674885	Melgar	CO	4.20475	-74.64075	America/Bogota
3674962	Medellín	CO	6.25184	-75.56359	America/Bogota
3675252	Mariquita	CO	5.19889	-74.89295	America/Bogota
3675263	Marinilla	CO	6.17358	-75.33621	America/Bogota
3675287	María la Baja	CO	9.9832	-75.30155	America/Bogota
3675409	Manzanares	CO	5.32472	-75.15694	America/Bogota
3675443	Manizales	CO	5.06889	-75.51738	America/Bogota
3675595	Malambo	CO	10.85953	-74.77386	America/Bogota
3675605	Málaga	CO	6.69903	-72.73233	America/Bogota
3675657	Maicao	CO	11.38321	-72.24321	America/Bogota
3675692	Magangué	CO	9.24202	-74.75467	America/Bogota
3675707	Madrid	CO	4.73245	-74.26419	America/Bogota
3675975	Los Patios	CO	7.83793	-72.5037	America/Bogota
3676397	Lorica	CO	9.23648	-75.8135	America/Bogota
3676604	Líbano	CO	4.9218	-75.06232	America/Bogota
3676623	Leticia	CO	-4.21528	-69.94056	America/Bogota
3676626	Lérida	CO	4.86242	-74.90977	America/Bogota
3676720	La Virginia	CO	4.89972	-75.8825	America/Bogota
3676928	La Unión	CO	4.53282	-76.10318	America/Bogota
3676934	La Unión	CO	1.6045	-77.13152	America/Bogota
3677010	La Tebaida	CO	4.45265	-75.78746	America/Bogota
3678097	La Plata	CO	2.39341	-75.89232	America/Bogota
3678405	La Mesa	CO	5.26667	-73.91667	America/Bogota
3678674	La Jagua de Ibirico	CO	9.56228	-73.33405	America/Bogota
3679065	La Estrella	CO	6.15769	-75.64317	America/Bogota
3679277	La Dorada	CO	5.44783	-74.66311	America/Bogota
3679554	La Ceja	CO	6.03131	-75.43333	America/Bogota
3680387	Jamundí	CO	3.26074	-76.53499	America/Bogota
3680450	Itagüí	CO	6.18461	-75.59913	America/Bogota
3680539	Ipiales	CO	0.83018	-77.64959	America/Bogota
3680656	Ibagué	CO	4.43889	-75.23222	America/Bogota
3680840	Honda	CO	5.20856	-74.73584	America/Bogota
3681797	Guacarí	CO	3.76383	-76.33292	America/Bogota
3681957	Granada	CO	3.54625	-73.70687	America/Bogota
3682018	Girón	CO	7.0682	-73.16981	America/Bogota
3682028	Girardot City	CO	4.30079	-74.80754	America/Bogota
3682108	Garzón	CO	2.19593	-75.62777	America/Bogota
3682238	Galapa	CO	10.89686	-74.886	America/Bogota
3682274	Fusagasuga	CO	4.33646	-74.36378	America/Bogota
3682281	Funza	CO	4.71638	-74.21195	America/Bogota
3682292	Fundación	CO	10.52066	-74.18504	America/Bogota
3682330	Fresno	CO	5.15264	-75.03624	America/Bogota
3682374	Fonseca	CO	10.88606	-72.8487	America/Bogota
3682385	Floridablanca	CO	7.06222	-73.08644	America/Bogota
3682393	Florida	CO	3.3223	-76.2348	America/Bogota
3682426	Florencia	CO	1.61438	-75.60623	America/Bogota
3682458	Flandes	CO	4.29005	-74.81612	America/Bogota
3682516	Facatativá	CO	4.81367	-74.35453	America/Bogota
3682573	Espinal	CO	4.14924	-74.88429	America/Bogota
3682631	Envigado	CO	6.17591	-75.59174	America/Bogota
3683233	El Retén	CO	10.61135	-74.26824	America/Bogota
3684452	El Copey	CO	10.15031	-73.9614	America/Bogota
3684579	El Charco	CO	2.47691	-78.11049	America/Bogota
3684615	El Cerrito	CO	3.68549	-76.31372	America/Bogota
3684666	El Carmen de Bolívar	CO	9.7174	-75.12023	America/Bogota
3684917	El Banco	CO	9.00114	-73.97581	America/Bogota
3684945	El Bagre	CO	7.60347	-74.80951	America/Bogota
3685084	Duitama	CO	5.8245	-73.03408	America/Bogota
3685095	Dos Quebradas	CO	4.83916	-75.66727	America/Bogota
3685335	Curumaní	CO	9.19992	-73.54274	America/Bogota
3685533	Cúcuta	CO	7.89391	-72.50782	America/Bogota
3685823	Corozal	CO	9.31505	-75.29283	America/Bogota
3685871	Corinto	CO	3.17301	-76.26275	America/Bogota
3685949	Municipio de Copacabana	CO	6.34633	-75.50888	America/Bogota
3686233	Circasia	CO	4.61889	-75.63583	America/Bogota
3686272	Ciénaga de Oro	CO	8.87443	-75.62028	America/Bogota
3686279	Ciénaga	CO	11.00703	-74.24765	America/Bogota
3686479	Chiriguaná	CO	9.36238	-73.60313	America/Bogota
3686513	Chiquinquirá	CO	5.61637	-73.81748	America/Bogota
3686540	Chinú	CO	9.10569	-75.39812	America/Bogota
3686561	Chinchiná	CO	4.9825	-75.60361	America/Bogota
3686585	Chimichagua	CO	9.25778	-73.81228	America/Bogota
3686636	Chigorodó	CO	7.66638	-76.68106	America/Bogota
3686675	Chía	CO	4.85876	-74.05866	America/Bogota
3686793	Chaparral	CO	3.72315	-75.48316	America/Bogota
3686922	Cereté	CO	8.88479	-75.79052	America/Bogota
3687025	Caucasia	CO	7.98654	-75.19349	America/Bogota
3687230	Cartago	CO	4.74639	-75.91167	America/Bogota
3687238	Cartagena	CO	10.39972	-75.51444	America/Bogota
3687318	Carmen de Viboral	CO	6.08236	-75.33509	America/Bogota
3687644	Candelaria	CO	3.40671	-76.34819	America/Bogota
3687758	Campo de la Cruz	CO	10.37808	-74.88356	America/Bogota
3687806	Campoalegre	CO	2.68489	-75.32311	America/Bogota
3687925	Cali	CO	3.43722	-76.5225	America/Bogota
3687952	Caldas	CO	6.09106	-75.63569	America/Bogota
3687964	Calarcá	CO	4.52949	-75.64091	America/Bogota
3688006	Cajicá	CO	4.91857	-74.02799	America/Bogota
3688071	Caicedonia	CO	4.3324	-75.82665	America/Bogota
3688256	Buga	CO	3.90089	-76.29783	America/Bogota
3688451	Buenaventura	CO	3.8801	-77.03116	America/Bogota
3688452	Buenaventura	CO	3.58333	-77	America/Bogota
3688465	Bucaramanga	CO	7.12539	-73.1198	America/Bogota
3688689	Bogotá	CO	4.60971	-74.08175	America/Bogota
3688928	Bello	CO	6.33732	-75.55795	America/Bogota
3688989	Belén de Umbría	CO	5.20087	-75.86865	America/Bogota
3689147	Barranquilla	CO	10.96854	-74.78132	America/Bogota
3689162	Barrancas	CO	10.95756	-72.78769	America/Bogota
3689169	Barrancabermeja	CO	7.06528	-73.85472	America/Bogota
3689205	Barbosa	CO	6.43809	-75.33136	America/Bogota
3689206	Barbosa	CO	5.93168	-73.61507	America/Bogota
3689235	Baranoa	CO	10.79408	-74.9164	America/Bogota
3689381	Ayapel	CO	8.31372	-75.13982	America/Bogota
3689560	Armenia	CO	4.53389	-75.68111	America/Bogota
3689570	Arjona	CO	10.25444	-75.34389	America/Bogota
3689589	Ariguaní	CO	10.25	-74	America/Bogota
3689718	Arauca	CO	7.08471	-70.75908	America/Bogota
3689759	Aracataca	CO	10.59181	-74.18983	America/Bogota
3689798	Apartadó	CO	7.88299	-76.62587	America/Bogota
3689833	Anserma	CO	5.33278	-75.79111	America/Bogota
3689899	Los Andes	CO	5.6561	-75.87877	America/Bogota
3689905	Andalucía	CO	4.17061	-76.16641	America/Bogota
3690316	Aguazul	CO	5.17282	-72.54706	America/Bogota
3690431	Aguadas	CO	5.61161	-75.45624	America/Bogota
3690465	Aguachica	CO	8.30844	-73.6166	America/Bogota
3690577	Acacías	CO	3.98695	-73.75797	America/Bogota
3770718	Morales	CO	2.75701	-76.61723	America/Bogota
3792375	Carepa	CO	7.75849	-76.65255	America/Bogota
3792376	Ciudad Bolívar	CO	5.85389	-76.02528	America/Bogota
3792383	Agustín Codazzi	CO	10.03672	-73.23558	America/Bogota
3792392	Plato	CO	9.79029	-74.78244	America/Bogota
3828545	San José del Guaviare	CO	2.57286	-72.64591	America/Bogota
3621184	Turrialba	CR	9.90467	-83.68352	America/Costa_Rica
3621335	Tejar	CR	9.74622	-84.23368	America/Costa_Rica
3621440	Siquirres	CR	10.09748	-83.50659	America/Costa_Rica
3621505	San Vicente	CR	9.96016	-84.04762	America/Costa_Rica
3621655	San Rafael Arriba	CR	9.87556	-84.07661	America/Costa_Rica
3621659	San Rafael Abajo	CR	9.831	-84.29008	America/Costa_Rica
3621687	San Rafael	CR	10.06383	-84.46765	America/Costa_Rica
3621689	San Rafael	CR	9.92787	-84.13722	America/Costa_Rica
3621717	San Pedro	CR	9.92829	-84.05074	America/Costa_Rica
3621729	San Pablo	CR	9.99559	-84.09656	America/Costa_Rica
3621753	San Miguel	CR	9.87121	-84.06084	America/Costa_Rica
3621804	San Juan de Dios	CR	9.8773	-84.0847	America/Costa_Rica
3621819	San Juan	CR	9.95974	-84.08165	America/Costa_Rica
3621841	San José	CR	10.95173	-85.1361	America/Costa_Rica
3621849	San José	CR	9.93333	-84.08333	America/Costa_Rica
3621889	San Isidro	CR	9.3721	-83.70399	America/Costa_Rica
3621911	San Francisco	CR	9.99299	-84.12934	America/Costa_Rica
3621922	San Felipe	CR	9.90488	-84.10551	America/Costa_Rica
3621926	San Diego	CR	9.89898	-84.00287	America/Costa_Rica
3622190	Quesada	CR	10.32381	-84.42714	America/Costa_Rica
3622217	Purral	CR	9.95808	-84.0305	America/Costa_Rica
3622228	Puntarenas	CR	9.97625	-84.83836	America/Costa_Rica
3622247	Limón	CR	9.99074	-83.03596	America/Costa_Rica
3622507	Patarrá	CR	9.88071	-84.03501	America/Costa_Rica
3622547	Paraíso	CR	9.83832	-83.86557	America/Costa_Rica
3622716	Nicoya	CR	10.15038	-85.45093	America/Costa_Rica
3622881	Mercedes	CR	10.00695	-84.13396	America/Costa_Rica
3623076	Liberia	CR	10.63504	-85.43772	America/Costa_Rica
3623394	Ipís	CR	9.96745	-84.01326	America/Costa_Rica
3623486	Heredia	CR	10.00236	-84.11651	America/Costa_Rica
3623580	Guápiles	CR	10.21682	-83.78483	America/Costa_Rica
3623593	Guadalupe	CR	9.94611	-84.05279	America/Costa_Rica
3623781	Esparza	CR	9.99447	-84.66466	America/Costa_Rica
3623977	Curridabat	CR	9.91179	-84.03407	America/Costa_Rica
3624174	Colima	CR	9.95091	-84.08503	America/Costa_Rica
3624288	Chacarita	CR	9.98424	-84.77892	America/Costa_Rica
3624370	Cartago	CR	9.86444	-83.91944	America/Costa_Rica
3624468	Cañas	CR	10.43105	-85.09825	America/Costa_Rica
3624509	Calle Blancos	CR	9.95	-84.06667	America/Costa_Rica
3624848	Aserrí	CR	9.85876	-84.0923	America/Costa_Rica
3624955	Alajuela	CR	10.01625	-84.21163	America/Costa_Rica
6612154	San Vicente de Moravia	CR	9.96164	-84.0488	America/Costa_Rica
3533753	Yara	CU	20.2733	-76.95399	America/Havana
3533826	Yaguajay	CU	22.32722	-79.23778	America/Havana
3534094	Viñales	CU	22.61243	-83.71136	America/Havana
3534363	Vertientes	CU	21.25528	-78.15338	America/Havana
3534432	Venezuela	CU	21.73528	-78.79639	America/Havana
3534632	Varadero	CU	23.15678	-81.24441	America/Havana
3534749	Urbano Noris	CU	20.60101	-76.13188	America/Havana
3534761	Unión de Reyes	CU	22.79528	-81.5375	America/Havana
3534915	Trinidad	CU	21.80194	-79.98417	America/Havana
3536259	Sibanicú	CU	21.235	-77.52639	America/Havana
3536640	Santo Domingo	CU	22.58667	-80.24361	America/Havana
3536724	Santiago de las Vegas	CU	22.97	-82.38694	America/Havana
3536729	Santiago de Cuba	CU	20.02472	-75.82194	America/Havana
3537840	Santa Cruz del Sur	CU	20.71176	-77.9986	America/Havana
3537845	Santa Cruz del Norte	CU	23.15374	-81.92611	America/Havana
3537906	Santa Clara	CU	22.4	-79.96667	America/Havana
3538803	San Miguel del Padrón	CU	23.06639	-82.29472	America/Havana
3539093	San Luis	CU	20.1875	-75.85083	America/Havana
3539560	San José de las Lajas	CU	22.96139	-82.15111	America/Havana
3540667	Sancti Spíritus	CU	21.92972	-79.4425	America/Havana
3540680	San Cristobal	CU	22.71658	-83.05647	America/Havana
3540885	San Antonio de los Baños	CU	22.89111	-82.49917	America/Havana
3541440	Sagua la Grande	CU	22.80667	-80.07556	America/Havana
3541446	Sagua de Tánamo	CU	20.58194	-75.24139	America/Havana
3541999	Rodas	CU	22.33794	-80.55538	America/Havana
3542137	Río Guayabal de Yateras	CU	20.36667	-75.01667	America/Havana
3542167	Río Cauto	CU	20.56284	-76.92122	America/Havana
3542455	Remedios	CU	22.49303	-79.54488	America/Havana
3542502	Regla	CU	23.125	-82.33194	America/Havana
3542744	Ranchuelo	CU	22.37266	-80.15046	America/Havana
3543299	Puerto Padre	CU	21.19449	-76.60355	America/Havana
3543498	Primero de Enero	CU	21.94694	-78.42833	America/Havana
3543961	Placetas	CU	22.31194	-79.65333	America/Havana
3544091	Pinar del Río	CU	22.4175	-83.69806	America/Havana
3544393	Perico	CU	22.76917	-81.01889	America/Havana
3544607	Pedro Betancourt	CU	22.72467	-81.28853	America/Havana
3545040	Palmira	CU	22.24167	-80.39028	America/Havana
3545064	Palma Soriano	CU	20.21238	-75.99843	America/Havana
3545841	Nuevitas	CU	21.54528	-77.26444	America/Havana
3545867	Nueva Gerona	CU	21.88333	-82.8	America/Havana
3545981	Niquero	CU	20.04478	-77.5851	America/Havana
3546434	Morón	CU	22.10944	-78.6275	America/Havana
3546791	Moa	CU	20.65776	-74.95075	America/Havana
3546882	Minas de Matahambre	CU	22.5875	-83.945	America/Havana
3546894	Minas	CU	21.48833	-77.61832	America/Havana
3547260	Media Luna	CU	20.14001	-77.43658	America/Havana
3547398	Matanzas	CU	23.04111	-81.5775	America/Havana
3547600	Mariel	CU	22.9875	-82.75361	America/Havana
3547867	Manzanillo	CU	20.34333	-77.11667	America/Havana
3547976	Manicaragua	CU	22.15021	-79.97867	America/Havana
3548441	Maisí	CU	20.24673	-74.15181	America/Havana
3548529	Madruga	CU	22.91139	-81.85611	America/Havana
3548993	Los Palacios	CU	22.58722	-83.24861	America/Havana
3550598	Las Tunas	CU	20.96167	-76.95111	America/Havana
3551184	La Sierpe	CU	21.75722	-79.24306	America/Havana
3551608	La Salud	CU	22.86991	-82.42193	America/Havana
3553478	Havana	CU	23.13302	-82.38304	America/Havana
3555907	Jovellanos	CU	22.80444	-81.19444	America/Havana
3556077	Jobabo	CU	20.96917	-76.29944	America/Havana
3556078	Jobabo	CU	20.90508	-77.28819	America/Havana
3556168	Jiguaní	CU	20.36667	-76.42722	America/Havana
3556268	Jesús Menéndez	CU	21.16	-76.47889	America/Havana
3556334	Jatibonico	CU	21.941	-79.17484	America/Havana
3556351	Jaruco	CU	23.04306	-82.01083	America/Havana
3556437	Jagüey Grande	CU	22.52694	-81.12861	America/Havana
3556969	Holguín	CU	20.88722	-76.26306	America/Havana
3557332	Guisa	CU	20.25101	-76.54152	America/Havana
3557347	Güira de Melena	CU	22.79274	-82.50823	America/Havana
3557378	Güines	CU	22.83611	-82.02806	America/Havana
3557689	Guantánamo	CU	20.14444	-75.20917	America/Havana
3557758	Guane	CU	22.2025	-84.0875	America/Havana
3557801	Guanajay	CU	22.92639	-82.6875	America/Havana
3557846	Guanabacoa	CU	23.12389	-82.30028	America/Havana
3557923	Guáimaro	CU	21.05176	-77.35021	America/Havana
3558315	Gibara	CU	21.10972	-76.13167	America/Havana
3558744	Fomento	CU	22.1001	-79.71913	America/Havana
3558771	Florida	CU	21.52472	-78.22583	America/Havana
3558792	Florencia	CU	22.14518	-78.97764	America/Havana
3559318	Esmeralda	CU	21.85155	-78.12005	America/Havana
3559416	Encrucijada	CU	22.61611	-79.86458	America/Havana
3562827	Cumanayagua	CU	22.15247	-80.20354	America/Havana
3562895	Cueto	CU	20.64511	-75.9402	America/Havana
3563145	Cruces	CU	22.34175	-80.27028	America/Havana
3563317	Corralillo	CU	22.98194	-80.58556	America/Havana
3563504	Contramaestre	CU	20.29778	-76.24139	America/Havana
3563559	Consolación del Sur	CU	22.50528	-83.51095	America/Havana
3563609	Condado	CU	21.87667	-79.84028	America/Havana
3563843	Colón	CU	22.71917	-80.90583	America/Havana
3563856	Colombia	CU	20.98806	-77.42972	America/Havana
3564084	Ciro Redondo	CU	22.01921	-78.70365	America/Havana
3564114	Cifuentes	CU	22.6493	-80.04935	America/Havana
3564124	Cienfuegos	CU	22.14957	-80.44662	America/Havana
3564178	Ciego de Ávila	CU	21.84	-78.76194	America/Havana
3564394	Chambas	CU	22.18736	-78.91569	America/Havana
3564436	Cerro	CU	23.10861	-82.37778	America/Havana
3564885	Cauto Cristo	CU	20.55639	-76.47444	America/Havana
3565432	Cárdenas	CU	23.0375	-81.20472	America/Havana
3565951	Campechuela	CU	20.23417	-77.27889	America/Havana
3566054	Camajuaní	CU	22.48333	-79.75	America/Havana
3566067	Camagüey	CU	21.38083	-77.91694	America/Havana
3566134	Calimete	CU	22.5342	-80.91105	America/Havana
3566356	Caibarién	CU	22.52056	-79.46694	America/Havana
3566429	Cacocum	CU	20.73668	-76.32646	America/Havana
3566603	Cabaiguán	CU	22.07889	-79.49917	America/Havana
3567546	Bejucal	CU	22.92861	-82.38861	America/Havana
3567597	Bayamo	CU	20.37917	-76.64333	America/Havana
3567612	Bauta	CU	22.98278	-82.54639	America/Havana
3567669	Bartolomé Masó	CU	20.16303	-76.94443	America/Havana
3567823	Baraguá	CU	21.68216	-78.62567	America/Havana
3567834	Baracoa	CU	20.34659	-74.49675	America/Havana
3567869	Banes	CU	20.9625	-75.71861	America/Havana
3567995	Bahía Honda	CU	22.90361	-83.15917	America/Havana
3568312	Artemisa	CU	22.81306	-82.76194	America/Havana
3568342	Arroyo Naranjo	CU	23.03611	-82.37167	America/Havana
3569024	Amancio	CU	20.8225	-77.57861	America/Havana
3569136	Alquízar	CU	22.80583	-82.58417	America/Havana
3569370	Alamar	CU	23.15833	-82.27694	America/Havana
3569546	Aguada de Pasajeros	CU	22.3852	-80.84792	America/Havana
3569741	Abreus	CU	22.2775	-80.5675	America/Havana
3746181	Habana del Este	CU	23.15917	-82.33056	America/Havana
3746183	Centro Habana	CU	23.13833	-82.36417	America/Havana
3746184	La Habana Vieja	CU	23.13028	-82.35306	America/Havana
3746938	Báguanos	CU	20.75167	-76.02694	America/Havana
3754915	Jimaguayú	CU	21.24278	-77.82778	America/Havana
6956646	Arroyo Naranjo	CU	23.0144	-82.3031	America/Havana
6956647	Boyeros	CU	23.0072	-82.4017	America/Havana
6956648	Diez de Octubre	CU	23.0881	-82.3597	America/Havana
3513090	Willemstad	CW	12.1084	-68.93354	America/Curacao
3575635	Roseau	DM	15.30174	-61.38808	America/Dominica
3491941	Villa Francisca	DO	18.46667	-69.9	America/Santo_Domingo
3491946	Villa Consuelo	DO	18.48333	-69.9	America/Santo_Domingo
3491948	Villa Bisonó	DO	19.56378	-70.87582	America/Santo_Domingo
3491952	Villa Altagracia	DO	18.67297	-70.17095	America/Santo_Domingo
3492517	Tamboril	DO	19.48538	-70.61104	America/Santo_Domingo
3492908	Santo Domingo	DO	18.50012	-69.98857	America/Santo_Domingo
3492914	Santiago de los Caballeros	DO	19.4517	-70.69703	America/Santo_Domingo
3492984	Santa Cruz de El Seibo	DO	18.76559	-69.03886	America/Santo_Domingo
3492985	Santa Cruz de Barahona	DO	18.20854	-71.10077	America/Santo_Domingo
3493032	San Pedro de Macorís	DO	18.46156	-69.29718	America/Santo_Domingo
3493081	San Juan de la Maguana	DO	18.80588	-71.22991	America/Santo_Domingo
3493100	San José de Ocoa	DO	18.54661	-70.50631	America/Santo_Domingo
3493146	San Francisco de Macorís	DO	19.30099	-70.25259	America/Santo_Domingo
3493174	San Fernando de Monte Cristi	DO	19.84826	-71.64597	America/Santo_Domingo
3493175	Puerto Plata	DO	19.79344	-70.6884	America/Santo_Domingo
3493240	Salvaleón de Higüey	DO	18.61501	-68.70798	America/Santo_Domingo
3493283	Salcedo	DO	19.37762	-70.41762	America/Santo_Domingo
3493383	Sabaneta	DO	19.47793	-71.34125	America/Santo_Domingo
3493482	Sabana Grande de Boyá	DO	18.94498	-69.79331	America/Santo_Domingo
3493769	Río Grande	DO	19.66667	-70.76667	America/Santo_Domingo
3494121	Quisqueya	DO	18.55542	-69.40814	America/Santo_Domingo
3494242	Punta Cana	DO	18.58182	-68.40431	America/Santo_Domingo
3495857	Neiba	DO	18.48137	-71.41965	America/Santo_Domingo
3496021	Nagua	DO	19.3832	-69.8474	America/Santo_Domingo
3496134	Monte Plata	DO	18.807	-69.78399	America/Santo_Domingo
3496331	Moca	DO	19.39352	-70.52598	America/Santo_Domingo
3496831	Mao	DO	19.55186	-71.07813	America/Santo_Domingo
3500370	Las Matas de Farfán	DO	18.87309	-71.51656	America/Santo_Domingo
3500957	La Romana	DO	18.42733	-68.97285	America/Santo_Domingo
3504158	Jarabacoa	DO	19.11683	-70.63595	America/Santo_Domingo
3504765	Hato Mayor del Rey	DO	18.76278	-69.25681	America/Santo_Domingo
3505855	Esperanza	DO	19.58469	-70.98489	America/Santo_Domingo
3508952	Dajabón	DO	19.54878	-71.70829	America/Santo_Domingo
3509207	Cotuí	DO	19.05272	-70.14939	America/Santo_Domingo
3509363	Constanza	DO	18.90919	-70.74499	America/Santo_Domingo
3509382	Concepción de La Vega	DO	19.22207	-70.52956	America/Santo_Domingo
3509578	Ciudad Nueva	DO	18.46667	-69.9	America/Santo_Domingo
3511233	Bonao	DO	18.93687	-70.40923	America/Santo_Domingo
3511336	Boca Chica	DO	18.45	-69.6	America/Santo_Domingo
3511540	San Cristóbal	DO	18.41667	-70.1	America/Santo_Domingo
3511550	Bella Vista	DO	18.45539	-69.9454	America/Santo_Domingo
3511626	Bayaguana	DO	18.75031	-69.63525	America/Santo_Domingo
3512067	Baní	DO	18.27964	-70.33185	America/Santo_Domingo
3512128	Bajos de Haina	DO	18.41538	-70.03317	America/Santo_Domingo
3512208	Azua	DO	18.45319	-70.7349	America/Santo_Domingo
7874116	Santo Domingo Oeste	DO	18.5	-70	America/Santo_Domingo
3649959	Zamora	EC	-4.06685	-78.95488	America/Guayaquil
3650121	Yaguachi Nuevo	EC	-2.0968	-79.69485	America/Guayaquil
3650186	Vinces	EC	-1.55611	-79.75191	America/Guayaquil
3650267	Ventanas	EC	-1.44158	-79.45943	America/Guayaquil
3650273	Velasco Ibarra	EC	-1.04376	-79.63837	America/Guayaquil
3650472	Tulcán	EC	0.81187	-77.71727	America/Guayaquil
3650721	Tena	EC	-0.9938	-77.81286	America/Guayaquil
3650960	Sucre	EC	-1.27974	-80.41885	America/Guayaquil
3651297	Santo Domingo de los Colorados	EC	-0.25305	-79.17536	America/Guayaquil
3651356	Santa Rosa	EC	-3.44882	-79.95952	America/Guayaquil
3651438	Santa Elena	EC	-2.22622	-80.85873	America/Guayaquil
3651694	San Lorenzo de Esmeraldas	EC	1.28626	-78.83514	America/Guayaquil
3651868	San Gabriel	EC	0.59318	-77.83078	America/Guayaquil
3652065	Samborondón	EC	-1.96276	-79.72402	America/Guayaquil
3652100	Salinas	EC	-2.21452	-80.95151	America/Guayaquil
3652257	Rosa Zarate	EC	0.32779	-79.47407	America/Guayaquil
3652350	Riobamba	EC	-1.67098	-78.64712	America/Guayaquil
3652462	Quito	EC	-0.22985	-78.52495	America/Guayaquil
3652567	Quevedo	EC	-1.02863	-79.46352	America/Guayaquil
3652584	Puyo	EC	-1.48369	-78.00257	America/Guayaquil
3652684	Pujilí	EC	-0.95759	-78.69636	America/Guayaquil
3652743	Puerto Francisco de Orellana	EC	-0.46645	-76.98719	America/Guayaquil
3652941	Portoviejo	EC	-1.05458	-80.45445	America/Guayaquil
3653015	Playas	EC	-2.63199	-80.38808	America/Guayaquil
3653130	Piñas	EC	-3.68107	-79.68083	America/Guayaquil
3653287	Pelileo	EC	-1.3299	-78.54341	America/Guayaquil
